Step,State_Code,State_Name,Duration_Days,Total_Time
423,1,Ясно (1),1.972,714.6083
424,2,Облачно (2),0.0512,714.6595
425,3,Пасмурно (3),2.0997,716.7592
426,2,Облачно (2),0.3463,717.1055
427,3,Пасмурно (3),1.8792,718.9848
428,1,Ясно (1),1.4306,720.4154
429,2,Облачно (2),3.5057,723.9212
430,1,Ясно (1),0.2836,724.2047
431,2,Облачно (2),1.9102,726.1149
432,3,Пасмурно (3),7.1999,733.3148
433,2,Облачно (2),3.6649,736.9797
434,3,Пасмурно (3),4.3872,741.3669
435,2,Облачно (2),0.1784,741.5453
436,1,Ясно (1),0.6449,742.1902
437,2,Облачно (2),0.818,743.0082
438,3,Пасмурно (3),1.5741,744.5823
439,2,Облачно (2),0.6337,745.216
440,1,Ясно (1),4.4204,749.6364
441,2,Облачно (2),2.0073,751.6437
442,3,Пасмурно (3),3.8215,755.4652
443,2,Облачно (2),0.1978,755.663
444,3,Пасмурно (3),2.703,758.366
445,2,Облачно (2),0.4562,758.8222
446,3,Пасмурно (3),2.9767,761.7988
447,1,Ясно (1),2.3431,764.142
448,3,Пасмурно (3),3.997,768.139
449,2,Облачно (2),0.7435,768.8825
450,3,Пасмурно (3),7.3689,776.2514
451,1,Ясно (1),2.6746,778.926
452,2,Облачно (2),0.0889,779.0149
453,1,Ясно (1),1.7958,780.8108
454,2,Облачно (2),2.0889,782.8997
455,1,Ясно (1),0.8223,783.722
456,2,Облачно (2),0.3531,784.0751
457,3,Пасмурно (3),5.6195,789.6945
458,2,Облачно (2),0.0041,789.6987
459,3,Пасмурно (3),5.5682,795.2669
460,2,Облачно (2),1.3571,796.6239
461,1,Ясно (1),0.4416,797.0655
462,3,Пасмурно (3),0.4936,797.5592
463,2,Облачно (2),0.2883,797.8475
464,1,Ясно (1),2.3491,800.1966
465,2,Облачно (2),4.0423,804.2389
466,3,Пасмурно (3),0.2883,804.5272
467,2,Облачно (2),5.8212,810.3484
468,1,Ясно (1),0.1887,810.537
469,2,Облачно (2),4.1063,814.6434
470,3,Пасмурно (3),0.5783,815.2217
471,2,Облачно (2),0.1835,815.4052
472,1,Ясно (1),0.9134,816.3186
473,3,Пасмурно (3),8.7052,825.0238
474,1,Ясно (1),0.0926,825.1164
475,2,Облачно (2),6.9173,832.0337
476,3,Пасмурно (3),0.9001,832.9339
477,2,Облачно (2),2.0405,834.9744
478,3,Пасмурно (3),2.0454,837.0198
479,2,Облачно (2),0.745,837.7648
480,3,Пасмурно (3),0.0849,837.8497
481,2,Облачно (2),1.192,839.0417
482,1,Ясно (1),0.3917,839.4334
483,2,Облачно (2),0.3791,839.8125
484,3,Пасмурно (3),1.8839,841.6963
485,1,Ясно (1),0.5603,842.2566
486,2,Облачно (2),0.3552,842.6118
487,1,Ясно (1),0.5531,843.1649
488,2,Облачно (2),2.3679,845.5328
489,3,Пасмурно (3),1.4898,847.0226
490,1,Ясно (1),0.1878,847.2104
491,2,Облачно (2),2.2308,849.4412
492,3,Пасмурно (3),4.7764,854.2176
493,2,Облачно (2),1.9316,856.1492
494,1,Ясно (1),0.3833,856.5324
495,2,Облачно (2),1.3633,857.8957
496,3,Пасмурно (3),0.7055,858.6012
497,2,Облачно (2),0.5381,859.1393
498,3,Пасмурно (3),2.8581,861.9975
499,1,Ясно (1),1.2103,863.2078
500,2,Облачно (2),1.4104,864.6182
501,3,Пасмурно (3),0.8081,865.4263
502,2,Облачно (2),0.2847,865.711
503,1,Ясно (1),0.3228,866.0338
504,2,Облачно (2),0.5487,866.5825
505,1,Ясно (1),0.4509,867.0334
506,2,Облачно (2),0.4723,867.5057
507,3,Пасмурно (3),1.2228,868.7285
508,2,Облачно (2),1.8768,870.6053
509,3,Пасмурно (3),3.2095,873.8148
510,2,Облачно (2),1.5427,875.3574
511,3,Пасмурно (3),2.7636,878.1211
512,1,Ясно (1),4.7225,882.8436
513,2,Облачно (2),2.2352,885.0788
514,3,Пасмурно (3),4.5735,889.6523
515,2,Облачно (2),0.8119,890.4642
516,1,Ясно (1),2.9529,893.4171
517,2,Облачно (2),2.7727,896.1897
518,3,Пасмурно (3),0.3886,896.5784
519,1,Ясно (1),0.2304,896.8088
520,3,Пасмурно (3),7.6978,904.5066
521,1,Ясно (1),0.3308,904.8374
522,2,Облачно (2),2.4389,907.2763
523,3,Пасмурно (3),3.0998,910.3761
524,2,Облачно (2),2.9115,913.2876
525,1,Ясно (1),1.2652,914.5528
526,2,Облачно (2),0.8494,915.4022
527,3,Пасмурно (3),9.3697,924.7719
528,1,Ясно (1),6.5437,931.3157
529,3,Пасмурно (3),1.6313,932.947
530,2,Облачно (2),1.0255,933.9725
531,3,Пасмурно (3),3.3647,937.3373
532,1,Ясно (1),1.3075,938.6448
533,2,Облачно (2),1.9615,940.6062
534,1,Ясно (1),0.0307,940.637
535,2,Облачно (2),0.3585,940.9955
536,1,Ясно (1),4.2689,945.2644
537,2,Облачно (2),1.3503,946.6147
538,3,Пасмурно (3),11.0106,957.6253
539,2,Облачно (2),1.9247,959.55
540,1,Ясно (1),1.1531,960.7031
541,2,Облачно (2),2.1839,962.887
542,3,Пасмурно (3),0.661,963.548
543,2,Облачно (2),4.1079,967.6559
544,3,Пасмурно (3),6.2193,973.8752
545,2,Облачно (2),1.5825,975.4577
546,1,Ясно (1),0.3271,975.7848
547,2,Облачно (2),1.2744,977.0592
548,3,Пасмурно (3),2.3252,979.3844
549,1,Ясно (1),0.5906,979.975
550,3,Пасмурно (3),2.3238,982.2988
551,2,Облачно (2),0.7351,983.0339
552,3,Пасмурно (3),0.0391,983.073
553,2,Облачно (2),3.7574,986.8304
554,1,Ясно (1),0.7138,987.5442
555,2,Облачно (2),0.2956,987.8398
556,3,Пасмурно (3),2.9322,990.772
557,2,Облачно (2),0.6743,991.4463
558,1,Ясно (1),0.2621,991.7084
559,2,Облачно (2),1.0827,992.7911
560,3,Пасмурно (3),0.7534,993.5445
561,2,Облачно (2),0.8189,994.3634
562,3,Пасмурно (3),8.3119,1002.6753
563,2,Облачно (2),0.3784,1003.0537
564,3,Пасмурно (3),0.7057,1003.7594
565,2,Облачно (2),2.2072,1005.9666
566,3,Пасмурно (3),4.4487,1010.4154
567,2,Облачно (2),0.342,1010.7574
568,1,Ясно (1),0.0308,1010.7882
569,2,Облачно (2),1.0455,1011.8337
570,3,Пасмурно (3),3.9724,1015.8061
571,2,Облачно (2),0.0113,1015.8174
572,3,Пасмурно (3),4.1304,1019.9478
573,1,Ясно (1),1.4244,1021.3722
574,2,Облачно (2),2.5099,1023.8822
575,1,Ясно (1),3.6178,1027.4999
576,2,Облачно (2),1.4287,1028.9286
577,3,Пасмурно (3),0.9408,1029.8694
578,2,Облачно (2),0.7374,1030.6068
579,1,Ясно (1),1.0199,1031.6267
580,3,Пасмурно (3),0.1485,1031.7752
581,1,Ясно (1),0.4813,1032.2565
582,2,Облачно (2),2.5204,1034.7769
583,3,Пасмурно (3),0.514,1035.2909
584,1,Ясно (1),2.8551,1038.146
585,3,Пасмурно (3),6.6253,1044.7713
586,1,Ясно (1),1.6253,1046.3967
587,2,Облачно (2),0.7806,1047.1772
588,3,Пасмурно (3),0.8632,1048.0404
589,2,Облачно (2),1.4527,1049.4931
590,1,Ясно (1),1.5459,1051.039
591,3,Пасмурно (3),1.096,1052.135
592,2,Облачно (2),0.9176,1053.0526
593,3,Пасмурно (3),1.8142,1054.8668
594,2,Облачно (2),0.2085,1055.0753
595,3,Пасмурно (3),1.975,1057.0503
596,2,Облачно (2),0.5534,1057.6038
597,1,Ясно (1),3.2988,1060.9026
598,2,Облачно (2),0.0692,1060.9717
599,3,Пасмурно (3),0.5141,1061.4859
600,2,Облачно (2),0.8194,1062.3053
601,1,Ясно (1),0.3634,1062.6687
602,3,Пасмурно (3),5.5273,1068.196
603,1,Ясно (1),0.1912,1068.3872
604,3,Пасмурно (3),1.18,1069.5673
605,2,Облачно (2),0.7586,1070.3259
606,1,Ясно (1),0.0578,1070.3837
607,3,Пасмурно (3),6.2383,1076.622
608,2,Облачно (2),0.2134,1076.8355
609,3,Пасмурно (3),1.9109,1078.7464
610,2,Облачно (2),1.3032,1080.0496
611,3,Пасмурно (3),6.4167,1086.4663
612,2,Облачно (2),1.425,1087.8912
613,1,Ясно (1),0.8298,1088.721
614,3,Пасмурно (3),1.435,1090.156
615,2,Облачно (2),0.157,1090.313
616,3,Пасмурно (3),3.1134,1093.4264
617,2,Облачно (2),0.6648,1094.0911
618,1,Ясно (1),0.4395,1094.5306
619,2,Облачно (2),0.7576,1095.2882
620,3,Пасмурно (3),2.1323,1097.4205
621,1,Ясно (1),3.4991,1100.9196
622,2,Облачно (2),0.9004,1101.82
623,1,Ясно (1),0.0197,1101.8397
624,2,Облачно (2),1.7338,1103.5735
625,3,Пасмурно (3),1.6113,1105.1848
626,2,Облачно (2),1.7493,1106.9341
627,3,Пасмурно (3),0.3109,1107.245
628,2,Облачно (2),0.8441,1108.0891
629,3,Пасмурно (3),1.1207,1109.2099
630,2,Облачно (2),2.3743,1111.5842
631,1,Ясно (1),0.109,1111.6932
632,2,Облачно (2),2.0707,1113.7639
633,1,Ясно (1),0.2283,1113.9922
634,3,Пасмурно (3),0.9617,1114.9539
635,2,Облачно (2),0.5405,1115.4945
636,1,Ясно (1),1.8601,1117.3545
637,3,Пасмурно (3),7.0735,1124.428
638,2,Облачно (2),0.455,1124.883
639,1,Ясно (1),0.252,1125.135
640,2,Облачно (2),2.4853,1127.6203
641,3,Пасмурно (3),1.3688,1128.9891
642,2,Облачно (2),0.2401,1129.2292
